src_text,tgt_text,author,filename
آنکھ سے دور نہ ہو دل سے اتر جائے گا,aañkh se duur na ho dil se utar jā.egā,ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
وقت کا کیا ہے گزرتا ہے گزر جائے گا,vaqt kā kyā hai guzartā hai guzar jā.egā,ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
اتنا مانوس نہ ہو خلوت غم سے اپنی,itnā mānūs na ho ḳhalvat-e-ġham se apnī,ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
تو کبھی خود کو بھی دیکھے گا تو ڈر جائے گا,tū kabhī ḳhud ko bhī dekhegā to dar jā.egā,ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
ڈوبتے ڈوبتے کشتی کو اچھالا دے دوں,dūbte dūbte kashtī ko uchhālā de duuñ,ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
میں نہیں کوئی تو ساحل پہ اتر جائے گا,maiñ nahīñ koī to sāhil pe utar jā.egā,ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
زندگی تیری عطا ہے تو یہ جانے والا,zindagī terī atā hai to ye jaane vaalā,ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
تیری بخشش تری دہلیز پہ دھر جائے گا,terī baḳhshish tirī dahlīz pe dhar jā.egā,ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
ضبط لازم ہے مگر دکھ ہے قیامت کا فرازؔ,zabt lāzim hai magar dukh hai qayāmat kā 'farāz',ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
ظالم اب کے بھی نہ روئے گا تو مر جائے گا,zālim ab ke bhī na ro.egā to mar jā.egā,ahmad-faraz,aankh-se-duur-na-ho-dil-se-utar-jaaegaa-ahmad-faraz-ghazals
عاشقی میں میرؔ جیسے خواب مت دیکھا کرو,āshiqī meñ 'mīr' jaise ḳhvāb mat dekhā karo,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
باؤلے ہو جاؤ گے مہتاب مت دیکھا کرو,bāvle ho jāoge mahtāb mat dekhā karo,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
جستہ جستہ پڑھ لیا کرنا مضامین وفا,jasta jasta paḍh liyā karnā mazāmīn-e-vafā,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
پر کتاب عشق کا ہر باب مت دیکھا کرو,par kitāb-e-ishq kā har baab mat dekhā karo,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
اس تماشے میں الٹ جاتی ہیں اکثر کشتیاں,is tamāshe meñ ulat jaatī haiñ aksar kashtiyāñ,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
ڈوبنے والوں کو زیر آب مت دیکھا کرو,dūbne vāloñ ko zer-e-āb mat dekhā karo,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
مے کدے میں کیا تکلف مے کشی میں کیا حجاب,mai-kade meñ kyā takalluf mai-kashī meñ kyā hijāb,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
بزم ساقی میں ادب آداب مت دیکھا کرو,bazm-e-sāqī meñ adab ādāb mat dekhā karo,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
ہم سے درویشوں کے گھر آؤ تو یاروں کی طرح,ham se durveshoñ ke ghar aao to yāroñ kī tarah,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
ہر جگہ خس خانہ و برفاب مت دیکھا کرو,har jagah ḳhas-ḳhāna o barfāb mat dekhā karo,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
مانگے تانگے کی قبائیں دیر تک رہتی نہیں,māñge-tāñge kī qabā.eñ der tak rahtī nahīñ,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
یار لوگوں کے لقب القاب مت دیکھا کرو,yaar logoñ ke laqab-alqāb mat dekhā karo,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
تشنگی میں لب بھگو لینا بھی کافی ہے فرازؔ,tishnagī meñ lab bhigo lenā bhī kaafī hai 'farāz',ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
جام میں صہبا ہے یا زہراب مت دیکھا کرو,jaam meñ sahbā hai yā zahrāb mat dekhā karo,ahmad-faraz,aashiqii-men-miir-jaise-khvaab-mat-dekhaa-karo-ahmad-faraz-ghazals
اب اور کیا کسی سے مراسم بڑھائیں ہم,ab aur kyā kisī se marāsim baḍhā.eñ ham,ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
یہ بھی بہت ہے تجھ کو اگر بھول جائیں ہم,ye bhī bahut hai tujh ko agar bhuul jaa.eñ ham,ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
صحرائے زندگی میں کوئی دوسرا نہ تھا,sahrā-e-zindagī meñ koī dūsrā na thā,ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
سنتے رہے ہیں آپ ہی اپنی صدائیں ہم,sunte rahe haiñ aap hī apnī sadā.eñ ham,ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
اس زندگی میں اتنی فراغت کسے نصیب,is zindagī meñ itnī farāġhat kise nasīb,ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
اتنا نہ یاد آ کہ تجھے بھول جائیں ہم,itnā na yaad aa ki tujhe bhuul jaa.eñ ham,ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
تو اتنی دل زدہ تو نہ تھی اے شب فراق,tū itnī dil-zada to na thī ai shab-e-firāq,ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
آ تیرے راستے میں ستارے لٹائیں ہم,aa tere rāste meñ sitāre lutā.eñ ham,ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
وہ لوگ اب کہاں ہیں جو کہتے تھے کل فرازؔ,vo log ab kahāñ haiñ jo kahte the kal 'farāz',ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
ہے ہے خدا نہ کردہ تجھے بھی رلائیں ہم,he he ḳhudā-na-karda tujhe bhī rulā.eñ ham,ahmad-faraz,ab-aur-kyaa-kisii-se-maraasim-badhaaen-ham-ahmad-faraz-ghazals
اب کے ہم بچھڑے تو شاید کبھی خوابوں میں ملیں,ab ke ham bichhḍe to shāyad kabhī ḳhvāboñ meñ mileñ,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
جس طرح سوکھے ہوئے پھول کتابوں میں ملیں,jis tarah sūkhe hue phuul kitāboñ meñ mileñ,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
ڈھونڈ اجڑے ہوئے لوگوں میں وفا کے موتی,dhūñdh ujḍe hue logoñ meñ vafā ke motī,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
یہ خزانے تجھے ممکن ہے خرابوں میں ملیں,ye ḳhazāne tujhe mumkin hai ḳharāboñ meñ mileñ,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
غم دنیا بھی غم یار میں شامل کر لو,ġham-e-duniyā bhī ġham-e-yār meñ shāmil kar lo,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
نشہ بڑھتا ہے شرابیں جو شرابوں میں ملیں,nashsha baḍhtā hai sharābeñ jo sharāboñ meñ mileñ,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
تو خدا ہے نہ مرا عشق فرشتوں جیسا,tū ḳhudā hai na mirā ishq farishtoñ jaisā,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
دونوں انساں ہیں تو کیوں اتنے حجابوں میں ملیں,donoñ insāñ haiñ to kyuuñ itne hijāboñ meñ mileñ,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
آج ہم دار پہ کھینچے گئے جن باتوں پر,aaj ham daar pe khīñche ga.e jin bātoñ par,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
کیا عجب کل وہ زمانے کو نصابوں میں ملیں,kyā ajab kal vo zamāne ko nisāboñ meñ mileñ,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
اب نہ وہ میں نہ وہ تو ہے نہ وہ ماضی ہے فرازؔ,ab na vo maiñ na vo tū hai na vo maazī hai 'farāz',ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
جیسے دو شخص تمنا کے سرابوں میں ملیں,jaise do shaḳhs tamannā ke sarāboñ meñ mileñ,ahmad-faraz,ab-ke-ham-bichhde-to-shaayad-kabhii-khvaabon-men-milen-ahmad-faraz-ghazals
اب کے تجدید وفا کا نہیں امکاں جاناں,ab ke tajdīd-e-vafā kā nahīñ imkāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
یاد کیا تجھ کو دلائیں ترا پیماں جاناں,yaad kyā tujh ko dilā.eñ tirā paimāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
یوں ہی موسم کی ادا دیکھ کے یاد آیا ہے,yūñhī mausam kī adā dekh ke yaad aayā hai,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
کس قدر جلد بدل جاتے ہیں انساں جاناں,kis qadar jald badal jaate haiñ insāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
زندگی تیری عطا تھی سو ترے نام کی ہے,zindagī terī atā thī so tire naam kī hai,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
ہم نے جیسے بھی بسر کی ترا احساں جاناں,ham ne jaise bhī basar kī tirā ehsāñ jānāñ,ahmad-faraz,ab-ke-tajdiid-e-vafaa-kaa-nahiin-imkaan-jaanaan-ahmad-faraz-ghazals
